"AnimalID","Date","Julian_date","J_day_new_spr","X_UTM","Y_UTM","NSD"
140400,2014-08-20,232,176,270328.466140586,5179930.30751567,18.6695211621018
140400,2014-08-21,233,177,268020.249299417,5174638.82018092,75.9457805680267
140400,2014-08-22,234,178,271660.905144016,5182576.72495828,16.4129070378794
140400,2014-08-23,235,179,268068.628469417,5177280.86617671,36.9462864871127
140400,2014-08-24,236,180,267850.433408761,5174802.26955548,73.040277048891
140400,2014-08-25,237,181,270105.46588422,5178901.76759152,25.62590696097
140400,2014-08-26,238,182,270459.340682171,5179551.42557677,22.1115588602014
140400,2014-08-27,239,183,267814.160662843,5174259.53106956,82.5991571556875
140400,2014-08-28,240,184,270603.819381656,5175720.34986474,66.6939331726206
140400,2014-08-29,241,185,267832.628925175,5174341.16239837,81.1273429572553
140400,2014-08-30,242,186,268550.097396276,5173085.04837975,106.058604227819
140400,2014-08-31,243,187,270451.88733236,5174949.46577512,78.1824314082511
140480,2014-07-01,182,126,270170.930083774,5180012.00010277,17.2424130867928
140480,2014-07-02,183,127,270338.53534388,5179393.58400004,22.1438851871892
140480,2014-07-03,184,128,270912.292307322,5178789.71632875,30.6772627330131
140480,2014-07-04,185,129,270835.172371925,5178573.4515702,31.8824038419179
140480,2014-07-05,186,130,270460.158418785,5178371.89820205,30.9741476919945
140480,2014-07-06,187,131,270940.278571989,5177918.49772743,38.6586694553144
140480,2014-07-07,188,132,271681.704019454,5177894.72149705,45.1294704693902
140480,2014-07-08,189,133,272374.249528648,5176984.95174897,61.7236331174075
140480,2014-07-09,190,134,272043.597974069,5177347.98974742,54.249048398797
140480,2014-07-10,191,135,273955.821154982,5176301.03191536,89.3319809121749
140480,2014-07-11,192,136,275011.250723392,5177707.89399469,88.5673641477694
140480,2014-07-12,193,137,275152.007797845,5177788.29903791,89.998710618553
140480,2014-07-13,194,138,273827.307692056,5180813.3575553,49.1899408579096
140480,2014-07-14,195,139,273563.277842897,5181316.23842106,43.9524212542491
140480,2014-07-15,196,140,272285.93827297,5180104.9902146,34.1744679124286
140480,2014-07-16,197,141,269159.197386547,5181356.06240212,6.3411976014067
140480,2014-07-17,198,142,268572.250455608,5181408.70539653,4.12324205323448
140480,2014-07-18,199,143,269176.575863358,5182205.5410482,4.66105342679054
140480,2014-07-19,200,144,269035.988942173,5182526.97406377,3.81170166520765
140480,2014-07-20,201,145,270630.323532183,5182823.01345121,12.4312741197265
140480,2014-07-21,202,146,269297.943185087,5179791.7641742,13.9324805566615
140480,2014-07-22,203,147,271199.907099961,5181917.75218284,17.5716057704115
140480,2014-07-23,204,148,270872.20640209,5182148.35568645,14.6356563264013
140480,2014-07-24,205,149,267137.795802713,5179332.09014703,12.1104607044332
140480,2014-07-25,206,150,269665.188077728,5182581.7961189,6.60988620593816
140480,2014-07-26,207,151,269825.357575238,5181972.53956005,8.10744284244623
140480,2014-07-27,208,152,269959.109713186,5182668.44347514,8.16916109377139
140480,2014-07-28,209,153,265663.526693135,5180181.73304374,8.99450697541617
140480,2014-07-29,210,154,269581.817074975,5178416.64272032,25.4555409445877
140480,2014-07-30,211,155,266250.375988969,5177174.36538113,32.5118428366823
140480,2014-07-31,212,156,267927.549989474,5174617.91479101,67.8193944142496
140480,2014-08-01,213,157,270755.780953127,5177696.31440975,39.5011873446932
140480,2014-08-02,214,158,270254.017385331,5177584.17248447,37.2487623739536
140480,2014-08-03,215,159,270898.870474061,5176029.56142654,60.3976044823834
140480,2014-08-04,216,160,270930.549358831,5175655.59302692,65.8516512248968
140480,2014-08-05,217,161,267904.69673184,5174621.02192586,67.7313895260866
140480,2014-08-06,218,162,271111.113486462,5176778.12360161,52.4595732298
140480,2014-08-07,219,163,272259.689567522,5176991.51814754,60.4528800636575
140480,2014-08-08,220,164,270920.829184372,5177408.49921886,43.7612371524298
140480,2014-08-09,221,165,270702.800459076,5179715.71278614,22.5341030806736
140480,2014-08-10,222,166,270337.653952819,5179570.54256538,20.9596847343831
140480,2014-08-11,223,167,270811.215664115,5177945.67521287,37.4199791746018
140480,2014-08-12,224,168,268387.743352071,5174636.90093141,68.477874721756
140480,2014-08-13,225,169,271113.145662302,5178438.22589215,35.1982963770253
140480,2014-08-14,226,170,271112.976262657,5178433.78145652,35.2358354271803
140480,2014-08-15,227,171,267225.514113553,5177844.24902374,24.6925880658947
140480,2014-08-16,228,172,265409.212846245,5180134.9088067,10.0406290137846
140480,2014-08-17,229,173,265746.822507582,5180159.56585105,8.87848445247736
140480,2014-08-18,230,174,271728.904351453,5177525.73241825,49.3287384537453
140480,2014-08-19,231,175,270959.062355225,5179814.9793537,23.8391176433864
140480,2014-08-20,232,176,270152.077294146,5179919.25154935,17.6551315269799
140480,2014-08-21,233,177,270146.808022665,5179382.00078028,21.019879224556
140480,2014-08-22,234,178,271793.854888822,5182855.40984518,21.9915663929909
140480,2014-08-23,235,179,271785.028122564,5180411.09521683,27.6710271884405
140480,2014-08-24,236,180,269968.20870313,5179113.99080752,21.8754280027425
140480,2014-08-25,237,181,267901.086575445,5177104.84001306,33.2054767259933
140480,2014-08-26,238,182,267573.961658344,5176761.39412419,36.8294618970905
140480,2014-08-27,239,183,267789.108734783,5174404.04357131,71.1613564602254
140480,2014-08-28,240,184,268292.348098218,5174545.99050293,69.7368092118484
140480,2014-08-29,241,185,271057.367574024,5175970.11170786,62.4354619159745
140480,2014-08-30,242,186,267780.073376749,5174764.92590322,65.2107809909704
140480,2014-08-31,243,187,270215.971279727,5174987.40393496,70.9043704015628
140560,2014-07-01,182,126,288038.513754285,5186333.3594198,254.512389825627
140560,2014-07-02,183,127,288764.796226742,5185695.66541152,282.36441801378
140560,2014-07-03,184,128,288425.962791567,5185659.28301115,271.705874843827
140560,2014-07-04,185,129,287100.417800953,5186010.37395455,228.383951729327
140560,2014-07-05,186,130,284029.882033934,5185362.68213589,152.93265483936
140560,2014-07-06,187,131,283473.701347749,5185338.7525079,140.554669177574
140560,2014-07-07,188,132,281644.289258633,5185032.19670611,106.274992954226
140560,2014-07-08,189,133,285609.576663875,5185658.50821059,189.588829533336
140560,2014-07-09,190,134,287526.888687606,5186348.23755154,238.712041077554
140560,2014-07-10,191,135,284275.514367724,5185244.55727671,159.719478223757
140560,2014-07-11,192,136,282689.566814837,5185289.06941147,124.295936966685
140560,2014-07-12,193,137,284570.103874283,5185418.05465962,165.274511997877
140560,2014-07-13,194,138,284705.839952854,5185591.03001945,167.144834107288
140560,2014-07-14,195,139,284834.602873656,5185094.47493241,174.619588117957
140560,2014-07-15,196,140,280656.432354586,5184616.51932256,93.0920166271227
140560,2014-07-16,197,141,280758.9034274,5184932.80150831,91.6891936013912
140560,2014-07-17,198,142,281777.450473871,5185049.40892947,108.585096687415
